name,team,position,value,predicted_goals
Jayden Luker,11,3,45,0.0
Jamal Lewis,14,0,40,0.0
Leon Bailey,1,3,56,0.0
Jonny Evans,13,0,40,0.0
Ethan Horvath,15,2,43,0.0
Luke Plange,7,1,45,0.0
Luke Shaw,13,0,52,0.0
Oliver Scarles,18,0,40,0.0
Mario Lemina,19,3,49,0.0
Andi Zeqiri,4,1,44,0.0
James Tarkowski,8,0,46,0.0
Kristoffer Ajer,3,0,44,0.0
Jake O'Brien,7,0,40,0.0
Eddie Beach,6,2,40,0.0
Ryan Sessegnon,17,0,44,0.0
Justin Kluivert,2,3,46,0.0
Viljami Sinisalo,1,2,40,0.0
Pierre-Emile Højbjerg,17,3,52,0.0
Lesley Ugochukwu,6,3,44,0.0
Jadan Raymond,7,3,45,0.0
Luis Sinisterra,2,3,55,0.0
Teden Mengi,11,0,39,0.0
Marcus Tavernier,2,3,54,0.0
Leigh Kavanagh,4,0,40,0.0
Matthew Cox,3,2,40,0.0
Manuel Akanji,12,0,49,0.0
Matheus França de Oliveira,7,3,48,0.0
Justin Hubner,19,0,40,0.0
Lucas Tolentino Coelho de Lima,18,3,60,0.0
Luca Koleosho,5,3,48,0.0
Rayan Aït-Nouri,19,0,45,0.0
Calum Chambers,1,0,38,0.0
Ben Davies,17,0,43,0.0
Emerson Palmieri dos Santos,18,0,45,0.0
Lawrence Vigouroux,5,2,39,0.0
Jakub Moder,4,3,44,0.0
Tommi O'Reilly,1,3,45,0.0
Dara Costelloe,5,3,45,0.0
Ashley Phillips,17,0,40,0.0
John Stones,12,0,53,0.0
Idrissa Gueye,8,3,48,0.0
Harry Wilson,9,3,53,0.0
Marcus Bettinelli,6,2,40,0.0
Malcolm Ebiowei,7,3,44,0.0
Benjamin White,0,0,56,0.0
Omar Richards,15,0,44,0.0
Mark O’Mahony,4,1,45,0.0
Iliman Ndiaye,16,1,55,0.0
Jayden Bogle,16,0,45,0.0
Nick Pope,14,2,53,0.0
Kai Havertz,0,3,71,0.0
Wesley Moraes Ferreira da Silva,1,1,50,0.0
Vladimír Coufal,18,0,46,0.0
Marcus Rashford,13,3,84,0.0
Lewis O'Brien,15,3,49,0.0
Evan Ferguson,4,1,58,0.0
Tom McGill,4,2,39,0.0
Yves Bissouma,17,3,50,0.0
João Victor Gomes da Silva,19,3,49,0.0
Abdoulaye Doucouré,8,3,55,0.0
Enes Ünal,2,1,50,0.0
Ederson Santana de Moraes,12,2,55,0.0
Morgan Rogers,1,3,50,0.0
Virgil van Dijk,10,0,63,0.0
Willy Boly,15,0,45,0.0
Mohammed Kudus,18,3,68,0.0
Andrew Omobamidele,15,0,45,0.0
Kaine Kesler-Hayden,1,0,40,0.0
Rico Lewis,12,0,43,0.0
Alejandro Garnacho,13,3,49,0.0
Jason Steele,4,2,42,0.0
John McAtee,11,1,45,0.0
Jean-Philippe Gbamin,8,3,44,0.0
Norberto Bercique Gomes Betuncal,8,1,57,0.0
Sam Johnstone,7,2,45,0.0
Zack Nelson,11,3,45,0.0
Yerson Mosquera,19,0,40,0.0
Emiliano Buendía Stati,1,3,57,0.0
Alexandre Moreno Lopera,1,0,51,0.0
Japhet Tanganga,17,0,40,0.0
Marvelous Nakamba,11,3,44,0.0
Nathan Collins,3,0,45,0.0
Antony Matheus dos Santos,13,3,68,0.0
Trevoh Chalobah,6,0,43,0.0
Luke Cundle,19,3,45,0.0
Lukasz Fabianski,18,2,42,0.0
Ethan Nwaneri,0,3,45,0.0
Callum Marshall,18,1,45,0.0
Tino Livramento,14,0,42,0.0
Fodé Ballo-Touré,9,0,45,0.0
Aymeric Laporte,12,0,49,0.0
Tyler Adams,2,3,49,0.0
Kieran Trippier,14,0,68,0.0
Jamie McDonnell,15,3,45,0.0
Richarlison de Andrade,17,3,72,0.0
Jean-Ricner Bellegarde,19,3,49,0.0
Lewis Dobbin,8,3,45,0.0
Elliot Thorpe,11,3,45,0.0
Alejo Véliz,17,1,54,0.0
Mark Travers,2,2,40,0.0
Leo Castledine,6,3,45,0.0
Tawanda Chirewa,19,3,44,0.0
Sam Proctor,1,2,40,0.0
Guglielmo Vicario,17,2,53,0.0
Isaac Hayden,14,3,44,0.0
Mike Trésor,5,3,53,0.0
Jamaal Lascelles,14,0,41,0.0
Andrew Robertson,10,0,64,0.0
Giovani Lo Celso,17,3,48,0.0
Jeffrey Schlupp,7,3,49,0.0
Alex Iwobi,9,3,53,0.0
Cody Gakpo,10,1,72,0.0
Nicolas Jackson,6,1,68,0.0
Nikola Vlašić,18,3,45,0.0
Adam Lallana,4,3,49,0.0
Josh Brooking,6,0,40,0.0
Alphonse Areola,18,2,42,0.0
Alisson Ramses Becker,10,2,57,0.0
Aribim Pepple,11,1,45,0.0
Matt Doherty,19,0,43,0.0
Kepa Arrizabalaga,6,2,50,0.0
Luke Chambers,10,0,40,0.0
Jenson Metcalfe,8,3,45,0.0
Charlie Goode,3,0,39,0.0
Riyad Mahrez,12,3,75,0.0
Matija Šarkić,19,2,40,0.0
Auston Trusty,16,0,39,0.0
Anthony Gordon,14,3,61,0.0
Emmanuel Dennis,15,1,48,0.0
Nathaniel Clyne,7,0,44,0.0
Thiago Alcántara do Nascimento,10,3,47,0.0
Ethan Brierley,3,3,45,0.0
Timo Werner,17,1,65,0.0
Ryan Giles,11,0,42,0.0
