name,team,minutes,expected_goals_conceded,saves,selected,bps,influence,creativity,position_DEF,position_FWD,position_GK,position_MID,GW,predicted_clean_sheets
Ben Broggio,Aston Villa,0.0,0.0,0.0,479.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Ben Chilwell,Chelsea,0.0,0.0,0.0,59206.57142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Ben Davies,Spurs,12.857142857142858,0.24476190476190474,0.0,19348.47619047619,2.4285714285714284,3.4571428571428577,0.11904761904761904,1.0,0.0,0.0,0.0,25,0.0
Ben Doak,Liverpool,0.0,0.0,0.0,2738.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Ben Godfrey,Ipswich,0.0,0.0,0.0,941.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Ben Johnson,Ipswich,31.952380952380953,0.9466666666666667,0.0,281397.04761904763,1.5714285714285714,6.857142857142857,2.2523809523809524,1.0,0.0,0.0,0.0,25,0.0
Ben Mee,Brentford,8.285714285714286,0.1219047619047619,0.0,52199.09523809524,1.0952380952380953,1.6095238095238094,0.14285714285714285,1.0,0.0,0.0,0.0,25,0.0
Ben Nelson,Leicester,0.0,0.0,0.0,2413.285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Ben Winterburn,Bournemouth,0.8888888888888888,0.0,0.0,590.3333333333334,0.3333333333333333,0.022222222222222223,0.0,0.0,0.0,0.0,1.0,25,0.0
Benicio Baker-Boaitey,Brighton,0.0,0.0,0.0,324.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Benjamin Arthur,Brentford,0.0,0.0,0.0,488.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Benjamin White,Arsenal,33.04761904761905,0.47000000000000003,0.0,499647.1904761905,5.333333333333333,6.114285714285715,2.6333333333333333,1.0,0.0,0.0,0.0,25,0.0
Benoît Badiashile,Chelsea,11.761904761904763,0.22047619047619052,0.0,12470.52380952381,1.0476190476190477,2.2952380952380955,0.41904761904761906,1.0,0.0,0.0,0.0,25,0.0
Bernardo Veiga de Carvalho e Silva,Man City,82.57142857142857,1.371904761904762,0.0,488225.3333333333,17.476190476190474,17.704761904761906,26.009523809523813,0.0,0.0,0.0,1.0,25,0.32
Bernd Leno,Fulham,90.0,1.2433333333333334,2.8095238095238093,279230.61904761905,12.476190476190476,24.580952380952382,0.47619047619047616,0.0,0.0,1.0,0.0,25,0.02
Bilal El Khannouss,Leicester,45.31578947368421,1.072105263157895,0.0,11678.473684210527,8.0,7.578947368421052,11.41578947368421,0.0,0.0,0.0,1.0,25,0.0
Billy Gilmour,Brighton,4.619047619047619,0.06285714285714286,0.0,6062.952380952381,1.0,0.5428571428571429,0.5666666666666667,0.0,0.0,0.0,1.0,25,0.0
Bobby Clark,Liverpool,0.0,0.0,0.0,2307.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Bobby De Cordova-Reid,Leicester,12.952380952380953,0.3047619047619048,0.0,8642.52380952381,4.333333333333333,2.3333333333333335,0.9619047619047618,0.0,0.0,0.0,1.0,25,0.0
Boubacar Kamara,Aston Villa,36.333333333333336,0.4947619047619048,0.0,1401.2857142857142,6.333333333333333,6.476190476190476,4.628571428571429,0.0,0.0,0.0,1.0,25,0.0
Boubacar Traoré,Wolves,0.0,0.0,0.0,3254.5714285714284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Boubakary Soumaré,Leicester,43.857142857142854,0.901904761904762,0.0,33336.09523809524,5.523809523809524,5.780952380952381,4.785714285714286,0.0,0.0,0.0,1.0,25,0.0
Brajan Gruda,Brighton,15.095238095238095,0.26142857142857145,0.0,2514.714285714286,2.0476190476190474,2.4,5.514285714285714,0.0,0.0,0.0,1.0,25,0.0
Brandon Austin,Spurs,4.285714285714286,0.12047619047619047,0.09523809523809523,52520.0,0.3333333333333333,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,25,0.0
Brennan Johnson,Spurs,70.95238095238095,1.210952380952381,0.0,638843.0952380953,14.285714285714286,18.104761904761904,10.27142857142857,0.0,0.0,0.0,1.0,25,0.34
Bruno Borges Fernandes,Man Utd,78.80952380952381,1.2247619047619047,0.0,1290082.4761904762,19.38095238095238,24.361904761904764,32.13809523809524,0.0,0.0,0.0,1.0,25,0.33
Bruno Guimarães Rodriguez Moura,Newcastle,87.38095238095238,1.1795238095238094,0.0,212051.95238095237,17.857142857142858,19.257142857142856,21.804761904761904,0.0,0.0,0.0,1.0,25,0.27
Bryan Gil Salvatierra,Spurs,0.0,0.0,0.0,139.57142857142858,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Bryan Mbeumo,Brentford,89.76190476190476,1.611904761904762,0.0,2808226.380952381,26.0,35.59047619047619,30.842857142857145,0.0,0.0,0.0,1.0,25,0.15
Bukayo Saka,Arsenal,60.38095238095238,0.5009523809523809,0.0,3069584.619047619,20.714285714285715,24.580952380952382,30.0,0.0,0.0,0.0,1.0,25,0.22
Caleb Kporha,Crystal Palace,0.7333333333333333,0.004,0.0,2241.2,0.06666666666666667,0.5333333333333333,0.30666666666666664,1.0,0.0,0.0,0.0,25,0.0
Caleb Okoli,Leicester,38.04761904761905,0.9647619047619048,0.0,81055.52380952382,4.0,11.257142857142858,0.5095238095238095,1.0,0.0,0.0,0.0,25,0.0
Caleb Wiley,Chelsea,0.0,0.0,0.0,2779.9523809523807,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Callum Bates,Everton,0.0,0.0,0.0,504.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Callum Hudson-Odoi,Nott'm Forest,70.85714285714286,0.7338095238095238,0.0,227877.90476190476,13.523809523809524,12.466666666666667,22.242857142857144,0.0,0.0,0.0,1.0,25,0.65
Callum Olusesi,Spurs,0.0,0.0,0.0,442.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Callum Wilson,Newcastle,2.7142857142857144,0.05571428571428571,0.0,5025.857142857143,0.2857142857142857,0.09523809523809523,0.08095238095238096,0.0,1.0,0.0,0.0,25,0.0
