name,team,minutes,xP,influence,ict_index,threat,creativity,bps,expected_goal_involvements,transfers_in,position_DEF,position_FWD,position_GK,position_MID,GW,predicted_total_points
Idrissa Gueye,Everton,74.3,1.825,10.190000000000001,2.21,3.95,8.02,10.7,0.08399999999999999,561.5,0.0,0.0,0.0,1.0,25,2.18
Igor Julio dos Santos de Paulo,Brighton,42.857142857142854,0.7952380952380952,8.676190476190476,1.0809523809523809,0.19047619047619047,1.9285714285714286,4.904761904761905,0.013333333333333334,625.2380952380952,1.0,0.0,0.0,0.0,25,0.94
Igor Thiago Nascimento Rodrigues,Brentford,6.142857142857143,0.16666666666666666,0.5142857142857143,0.2,0.2857142857142857,1.3285714285714285,0.9523809523809523,0.005714285714285714,164.23809523809524,0.0,1.0,0.0,0.0,25,0.77
Iliman Ndiaye,Everton,80.15,2.565,16.04,4.085,13.0,11.675,13.8,0.135,12832.05,0.0,1.0,0.0,0.0,25,2.92
Ilkay Gündogan,Man City,57.9,2.67,7.7299999999999995,3.5,7.45,19.855,10.0,0.1935,6951.15,0.0,0.0,0.0,1.0,25,0.98
Illia Zabarnyi,Bournemouth,90.0,2.342857142857143,18.58095238095238,2.6285714285714286,1.8095238095238095,5.747619047619048,12.19047619047619,0.04904761904761905,3839.6190476190477,1.0,0.0,0.0,0.0,25,2.01
Imari Samuels,Brighton,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,325.8125,1.0,0.0,0.0,0.0,25,0.0
Isaac Hayden,Newcastle,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,520.5238095238095,0.0,0.0,0.0,1.0,25,0.0
Ismaïla Sarr,Crystal Palace,64.76190476190476,3.419047619047619,16.98095238095238,5.8238095238095235,25.666666666666668,15.59047619047619,14.428571428571429,0.3666666666666667,36953.57142857143,0.0,0.0,0.0,1.0,25,2.62
Ismeal Kabia,Arsenal,0.0,0.7833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,131.33333333333334,0.0,0.0,0.0,1.0,25,0.0
Issa Diop,Fulham,50.714285714285715,1.0333333333333332,9.704761904761904,1.4666666666666668,3.6666666666666665,1.4238095238095239,5.238095238095238,0.025714285714285717,1294.0,1.0,0.0,0.0,0.0,25,0.89
Issa Kaboré,Man City,0.0,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,24.55,1.0,0.0,0.0,0.0,25,0.0
Ivan Toney,Brentford,0.0,0.09047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,2065.5238095238096,0.0,1.0,0.0,0.0,25,0.0
Jack Clarke,Ipswich,27.842105263157894,1.2789473684210526,5.526315789473684,1.568421052631579,4.052631578947368,6.226315789473684,5.473684210526316,0.08,404.6842105263158,0.0,0.0,0.0,1.0,25,1.0
Jack Fletcher,Man Utd,0.0,-0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,73.92857142857143,0.0,0.0,0.0,1.0,25,0.0
Jack Grealish,Man City,27.238095238095237,1.6809523809523808,5.457142857142857,2.880952380952381,9.571428571428571,13.766666666666666,6.571428571428571,0.10857142857142857,2044.8095238095239,0.0,0.0,0.0,1.0,25,1.0
Jack Harrison,Everton,49.65,1.67,5.5,2.27,7.3,10.25,5.3,0.17850000000000002,830.5,0.0,0.0,0.0,1.0,25,1.0
Jack Hinshelwood,Brighton,39.95238095238095,1.2333333333333334,5.571428571428571,1.4571428571428573,3.619047619047619,5.300000000000001,6.142857142857143,0.06761904761904762,1118.142857142857,0.0,0.0,0.0,1.0,25,1.0
Jack Stephens,Southampton,37.76190476190476,0.29523809523809524,6.057142857142857,0.9333333333333333,0.8095238095238095,2.4523809523809526,1.8571428571428572,0.022857142857142857,5661.571428571428,1.0,0.0,0.0,0.0,25,0.86
